id,carat,cut,color,clarity,depth,table,x,y,z,price
8,2.05,4,6,1,62.4,57.0,8.17,8.09,5.08,18193
34,2.01,0,1,4,64.9,60.0,7.82,7.78,5.06,13744
42,2.0,1,2,3,64.2,52.0,7.91,7.88,5.07,11400
72,2.0,1,7,3,60.3,56.0,8.08,8.11,4.88,16425
82,2.28,4,1,4,62.7,57.0,8.43,8.36,5.26,16450
93,2.02,2,2,1,60.4,58.0,8.2,8.16,4.94,17357
141,2.0,3,3,3,60.7,60.0,8.07,8.11,4.91,15312
154,2.01,3,2,0,61.5,62.0,8.07,7.94,4.92,15475
165,2.31,3,2,3,62.9,58.0,8.43,8.34,5.27,17218
167,2.01,4,3,1,60.6,57.0,8.19,8.09,4.92,17383
193,2.02,4,3,3,62.7,57.0,8.05,8.0,5.03,15785
233,2.01,2,3,1,60.1,60.0,8.25,8.2,4.94,17476
245,2.0,3,3,3,62.8,57.0,8.05,8.01,5.04,11975
260,2.0,0,5,3,70.2,57.0,7.63,7.59,5.34,15351
300,2.0,2,2,3,63.7,61.0,7.85,7.97,5.04,12221
347,3.51,3,1,4,62.5,59.0,9.66,9.63,6.03,18701
353,2.21,3,3,3,62.9,60.0,8.27,8.23,5.19,13369
380,2.11,3,2,3,58.4,62.0,8.43,8.39,4.91,14615
410,2.08,3,6,3,62.3,59.0,8.22,8.16,5.1,15873
421,2.23,2,4,7,63.5,57.0,8.24,8.2,5.22,7006
423,2.12,4,2,3,61.0,57.0,8.28,8.31,5.06,15647
427,2.09,4,2,1,61.8,56.0,8.15,8.22,5.06,17114
436,2.11,2,2,1,62.4,53.0,8.17,8.27,5.13,14740
443,2.02,3,2,3,61.7,58.0,8.07,8.0,4.96,14350
465,2.35,3,3,1,62.6,60.0,8.42,8.38,5.26,17999
487,2.01,2,2,1,61.7,60.0,7.99,8.12,4.97,13464
533,2.32,4,2,3,62.0,57.0,8.45,8.49,5.25,17516
543,2.01,2,2,1,60.8,60.0,8.12,8.15,4.95,13849
619,2.02,4,5,3,62.7,57.0,8.07,7.93,5.03,13453
641,2.15,4,2,3,61.7,55.0,8.43,8.24,5.14,14519
653,2.11,4,2,1,61.0,57.0,8.37,8.29,5.08,15486
655,2.0,3,6,3,61.8,56.0,8.12,8.05,5.0,18426
656,2.52,0,4,7,66.9,57.0,8.39,8.33,5.6,10076
684,2.03,2,1,2,63.2,60.0,7.94,7.88,5.0,16043
703,2.18,3,1,1,62.9,59.0,8.25,8.21,5.18,13938
743,2.25,2,1,3,60.6,63.0,8.45,8.38,5.1,8442
827,2.2,4,3,3,60.0,58.0,8.47,8.5,5.09,16530
830,2.01,3,2,4,62.7,58.0,7.98,7.94,4.99,16778
860,2.02,4,1,0,61.9,58.0,8.06,8.1,5.0,15231
865,2.01,0,2,4,66.3,57.0,7.79,7.74,5.15,15729
867,3.0,1,1,3,59.3,64.0,9.32,9.19,5.5,14918
877,2.0,1,5,1,63.0,61.0,7.85,7.99,4.99,18376
881,2.09,3,3,1,61.1,56.0,8.3,8.23,5.05,18559
891,2.0,1,1,4,61.4,63.0,8.01,8.08,4.94,13542
893,2.05,4,3,1,62.4,57.0,8.14,8.08,5.06,17294
918,2.03,0,5,1,65.4,58.0,7.9,7.84,5.15,16280
944,2.24,3,3,3,61.4,57.0,8.43,8.35,5.15,16656
952,2.03,3,1,1,62.1,59.0,8.06,8.12,5.02,12862
1004,2.0,4,3,3,61.5,57.0,8.04,8.0,4.93,12587
1028,2.01,4,2,4,64.8,55.0,7.91,7.87,5.12,15729
1031,2.0,3,3,3,58.9,57.0,8.09,58.9,8.06,12210
1044,2.05,2,2,3,59.8,56.0,8.32,8.41,5.0,12839
1082,2.08,3,5,3,62.0,60.0,8.15,8.1,5.04,13437
1119,2.08,3,3,3,58.8,60.0,8.39,8.35,4.92,14462
1170,2.04,3,4,7,62.4,58.0,8.17,8.08,5.07,9905
1191,2.1,3,1,4,61.3,59.0,8.27,8.21,5.05,14359
1229,2.1,3,1,4,58.3,54.0,8.49,8.45,4.94,12401
1271,2.02,3,5,3,61.7,58.0,8.11,8.15,5.02,18320
1280,2.03,4,1,3,63.2,55.0,7.99,8.03,5.06,11951
1377,2.1,3,4,3,62.6,56.0,8.2,8.16,5.12,15175
1379,2.01,4,7,3,62.1,56.0,8.02,8.11,5.01,18674
1424,2.1,3,6,3,62.9,59.0,8.18,8.13,5.13,16783
1471,2.01,2,3,7,61.7,63.0,7.94,7.91,4.89,8104
1485,2.06,3,2,3,62.7,60.0,8.11,8.06,5.07,13198
1509,2.19,1,4,1,63.7,56.0,8.26,8.17,5.23,13978
1512,2.02,2,1,3,62.4,55.0,8.05,8.11,5.04,11757
1523,2.02,4,2,1,62.2,57.0,8.1,8.04,5.02,16704
1549,2.51,2,2,3,62.3,57.0,8.69,8.76,5.44,18090
1579,2.04,1,7,1,61.9,60.0,8.15,8.11,5.03,18468
1585,2.1,3,2,1,61.5,57.0,8.25,8.21,5.06,15007
