id,carat,depth,table,x,y,z,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7
676,3.01,59.7,58.0,9.41,9.32,5.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4347,3.0,64.8,59.0,8.93,8.73,5.72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4516,3.04,63.2,59.0,9.14,9.07,5.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4617,2.72,62.1,56.0,8.97,8.93,5.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5776,3.11,65.9,57.0,9.15,9.02,5.98,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7262,3.67,62.4,56.0,9.86,9.81,6.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8321,2.71,60.4,59.0,9.13,9.03,5.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8896,2.7,63.1,56.0,8.84,8.78,5.56,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9532,3.0,64.2,65.0,9.08,8.96,5.79,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9611,3.01,60.2,59.0,9.36,9.31,5.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10901,2.66,64.3,60.0,8.71,8.65,5.58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11105,2.63,62.3,61.0,8.81,8.76,5.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11171,3.05,60.9,58.0,9.26,9.25,5.66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11375,2.65,62.0,61.0,8.82,8.75,5.45,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11554,4.5,65.8,58.0,10.23,10.16,6.72,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12643,3.01,62.2,56.0,9.24,9.13,5.73,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13331,3.4,66.8,52.0,9.42,9.34,6.27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
