carat,depth,table,x,y,z,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7,price
0.78,61.5,58.0,5.93,5.98,3.66,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3446
0.31,60.8,56.0,4.37,4.32,2.64,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,732
0.3,62.3,54.0,4.3,4.34,2.69,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,475
1.04,62.0,58.0,6.54,6.46,4.03,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9552
0.65,61.4,55.0,5.58,5.62,3.44,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1276
0.9,62.2,60.0,6.15,6.19,3.84,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3662
0.31,62.3,55.0,4.34,4.36,2.71,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,446
0.71,64.6,59.0,5.62,5.59,3.62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2902
2.05,62.4,57.0,8.17,8.09,5.08,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18193
1.1,61.3,58.0,6.64,6.71,4.09,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4791
1.19,59.9,61.0,6.85,6.91,4.12,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5644
0.65,62.2,57.0,5.6,5.53,3.46,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2340
0.3,61.4,56.0,4.35,4.32,2.66,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,709
