id,carat,cut,color,clarity,depth,table,price
8,2.05,4,6,1,62.4,57.0,18193
34,2.01,0,1,4,64.9,60.0,13744
42,2.0,1,2,3,64.2,52.0,11400
72,2.0,1,7,3,60.3,56.0,16425
82,2.28,4,1,4,62.7,57.0,16450
93,2.02,2,2,1,60.4,58.0,17357
141,2.0,3,3,3,60.7,60.0,15312
154,2.01,3,2,0,61.5,62.0,15475
165,2.31,3,2,3,62.9,58.0,17218
167,2.01,4,3,1,60.6,57.0,17383
193,2.02,4,3,3,62.7,57.0,15785
233,2.01,2,3,1,60.1,60.0,17476
245,2.0,3,3,3,62.8,57.0,11975
260,2.0,0,5,3,70.2,57.0,15351
300,2.0,2,2,3,63.7,61.0,12221
347,3.51,3,1,4,62.5,59.0,18701
353,2.21,3,3,3,62.9,60.0,13369
380,2.11,3,2,3,58.4,62.0,14615
410,2.08,3,6,3,62.3,59.0,15873
421,2.23,2,4,7,63.5,57.0,7006
423,2.12,4,2,3,61.0,57.0,15647
427,2.09,4,2,1,61.8,56.0,17114
436,2.11,2,2,1,62.4,53.0,14740
443,2.02,3,2,3,61.7,58.0,14350
465,2.35,3,3,1,62.6,60.0,17999
487,2.01,2,2,1,61.7,60.0,13464
533,2.32,4,2,3,62.0,57.0,17516
543,2.01,2,2,1,60.8,60.0,13849
619,2.02,4,5,3,62.7,57.0,13453
641,2.15,4,2,3,61.7,55.0,14519
653,2.11,4,2,1,61.0,57.0,15486
655,2.0,3,6,3,61.8,56.0,18426
656,2.52,0,4,7,66.9,57.0,10076
684,2.03,2,1,2,63.2,60.0,16043
703,2.18,3,1,1,62.9,59.0,13938
743,2.25,2,1,3,60.6,63.0,8442
827,2.2,4,3,3,60.0,58.0,16530
830,2.01,3,2,4,62.7,58.0,16778
860,2.02,4,1,0,61.9,58.0,15231
865,2.01,0,2,4,66.3,57.0,15729
867,3.0,1,1,3,59.3,64.0,14918
877,2.0,1,5,1,63.0,61.0,18376
881,2.09,3,3,1,61.1,56.0,18559
891,2.0,1,1,4,61.4,63.0,13542
893,2.05,4,3,1,62.4,57.0,17294
918,2.03,0,5,1,65.4,58.0,16280
944,2.24,3,3,3,61.4,57.0,16656
952,2.03,3,1,1,62.1,59.0,12862
1004,2.0,4,3,3,61.5,57.0,12587
1028,2.01,4,2,4,64.8,55.0,15729
1031,2.0,3,3,3,58.9,57.0,12210
1044,2.05,2,2,3,59.8,56.0,12839
1082,2.08,3,5,3,62.0,60.0,13437
1119,2.08,3,3,3,58.8,60.0,14462
1170,2.04,3,4,7,62.4,58.0,9905
1191,2.1,3,1,4,61.3,59.0,14359
1229,2.1,3,1,4,58.3,54.0,12401
1271,2.02,3,5,3,61.7,58.0,18320
1280,2.03,4,1,3,63.2,55.0,11951
1377,2.1,3,4,3,62.6,56.0,15175
1379,2.01,4,7,3,62.1,56.0,18674
1424,2.1,3,6,3,62.9,59.0,16783
1471,2.01,2,3,7,61.7,63.0,8104
1485,2.06,3,2,3,62.7,60.0,13198
1509,2.19,1,4,1,63.7,56.0,13978
1512,2.02,2,1,3,62.4,55.0,11757
1523,2.02,4,2,1,62.2,57.0,16704
1549,2.51,2,2,3,62.3,57.0,18090
1579,2.04,1,7,1,61.9,60.0,18468
1585,2.1,3,2,1,61.5,57.0,15007
1598,2.23,3,1,1,62.4,59.0,14258
1623,2.0,2,1,3,61.9,55.0,11792
1658,2.08,3,2,1,60.3,59.0,15065
1672,2.68,3,4,7,58.6,60.0,8419
1693,2.0,3,5,3,61.5,59.0,11413
1704,2.1,2,1,3,59.1,58.0,12381
1719,2.01,2,3,4,63.2,58.0,18507
1749,2.01,1,2,4,65.0,57.0,17497
1756,2.0,4,3,4,61.6,57.0,13531
1761,2.44,3,2,3,61.4,56.0,13027
1767,2.01,2,6,1,60.8,59.0,16956
1777,2.26,4,2,1,62.4,57.0,16904
1793,2.05,4,4,3,59.8,59.0,16446
1818,2.12,3,4,7,60.0,58.0,7508
1850,2.35,3,2,3,61.1,58.0,17294
1852,2.02,3,3,3,61.5,58.0,17166
1860,2.32,2,2,1,63.2,59.0,18371
1864,2.21,3,3,3,61.3,60.0,14299
1969,2.01,2,6,3,63.3,61.0,15618
