carat,depth,table,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7,price
0.78,61.5,58.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3446
0.31,60.8,56.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,732
0.3,62.3,54.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,475
1.04,62.0,58.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9552
0.65,61.4,55.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1276
0.9,62.2,60.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3662
0.31,62.3,55.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,446
0.71,64.6,59.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2902
1.1,61.3,58.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4791
1.19,59.9,61.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5644
0.65,62.2,57.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2340
0.3,61.4,56.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,709
0.71,61.2,58.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2400
0.33,61.3,55.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1240
1.3,60.9,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11853
0.3,61.8,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,844
1.29,60.7,57.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11197
0.69,62.4,56.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2297
0.28,60.6,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,787
0.31,61.2,56.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1046
1.4,61.8,54.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8268
1.01,63.3,59.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4781
0.5,59.3,59.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1410
1.5,61.1,60.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13528
1.03,61.3,56.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7648
1.01,64.7,56.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5034
1.51,62.0,58.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6139
0.76,61.2,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2765
1.21,60.6,60.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5726
0.74,61.9,57.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2374
0.32,62.6,55.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,445
0.59,61.4,58.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1657
1.02,62.6,58.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4455
0.33,62.6,55.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,854
0.91,63.0,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3087
0.43,61.2,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1433
0.23,61.9,56.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,493
0.52,60.3,60.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1689
0.3,63.5,57.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,500
0.34,60.7,57.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,749
1.7,61.3,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15797
0.33,60.9,56.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,940
1.01,60.4,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6577
0.59,62.9,57.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1789
0.35,62.6,53.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,849
0.8,59.9,59.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2762
1.1,62.5,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5729
1.1,62.3,56.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6387
0.33,62.4,57.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,492
1.51,65.5,56.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6816
0.4,62.6,58.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1050
0.33,62.6,58.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,594
1.32,60.3,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6653
0.54,61.7,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1846
0.43,61.7,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1286
0.42,62.3,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1216
1.0,62.3,53.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7528
0.52,62.6,59.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1860
0.71,61.1,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2313
0.41,62.4,60.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1076
0.51,63.3,59.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1722
0.35,61.7,56.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,984
0.26,62.0,54.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,384
1.0,57.3,61.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4155
1.03,60.3,58.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5143
0.93,60.6,59.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4214
1.07,62.5,57.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6644
0.32,61.4,55.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,814
0.32,62.1,54.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,802
0.7,60.0,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2335
0.4,61.2,58.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,847
1.0,63.0,59.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4791
0.7,63.3,59.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2905
0.55,60.4,59.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1755
0.52,63.7,54.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1388
0.82,62.5,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2832
0.31,61.3,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,558
0.33,61.2,55.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,801
0.54,62.1,54.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2180
1.56,62.4,54.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10728
0.82,61.3,57.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3113
0.33,62.2,55.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,752
0.79,61.3,54.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3328
0.35,61.5,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,868
0.43,63.4,56.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,894
1.24,61.6,59.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7000
0.65,61.8,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1862
0.57,61.6,58.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2753
0.63,61.4,54.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1065
0.9,62.1,61.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3447
1.1,61.6,56.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4916
0.72,61.4,56.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3391
1.09,62.3,55.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5238
1.02,59.9,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4478
0.34,63.7,55.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,612
0.41,63.1,59.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,904
0.7,62.8,56.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2287
1.06,61.9,59.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4155
0.32,62.7,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,605
0.36,61.7,56.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,824
0.7,61.3,59.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2987
0.7,61.5,61.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2473
0.7,61.6,60.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2593
0.61,63.4,55.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1356
1.0,60.3,56.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4788
0.36,61.4,58.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,851
0.72,61.9,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2398
1.21,62.7,54.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8759
0.25,62.7,60.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,577
1.45,62.6,58.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6980
0.7,63.1,56.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2985
0.4,61.1,56.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,982
1.52,60.2,57.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7661
0.31,62.0,59.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,789
0.33,61.7,61.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,780
1.6,61.0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14383
1.01,60.7,58.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5599
0.56,61.0,57.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2510
0.8,63.4,56.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2321
0.51,63.1,58.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1838
0.3,61.5,62.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,468
0.35,61.9,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,706
1.01,66.1,55.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8529
1.05,59.8,60.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7667
1.2,62.8,57.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5408
0.9,62.8,57.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3160
1.01,62.0,57.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4242
0.43,60.9,57.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,943
0.52,62.8,61.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1244
0.72,60.3,57.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3478
1.31,59.6,58.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6095
0.7,61.4,59.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2858
1.51,61.9,56.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13588
