carat,depth,table,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7,price
2.05,62.4,57.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18193
2.01,64.9,60.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13744
2.0,64.2,52.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11400
2.0,60.3,56.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16425
2.28,62.7,57.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16450
2.02,60.4,58.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17357
2.0,60.7,60.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15312
2.01,61.5,62.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15475
2.31,62.9,58.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17218
2.01,60.6,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17383
2.02,62.7,57.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15785
2.01,60.1,60.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17476
2.0,62.8,57.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11975
2.0,70.2,57.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15351
2.0,63.7,61.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12221
3.51,62.5,59.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18701
2.21,62.9,60.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13369
2.11,58.4,62.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14615
2.08,62.3,59.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15873
