id,carat,color,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
8,2.05,7.0,62.4,57.0,8.17,8.09,5.08,0,0,1,0,0,0,0,1,0,0,0,0,0,18193
34,2.01,6.0,64.9,60.0,7.82,7.78,5.06,1,0,0,0,0,0,0,0,0,0,1,0,0,13744
42,2.0,5.0,64.2,52.0,7.91,7.88,5.07,0,1,0,0,0,0,0,0,1,0,0,0,0,11400
72,2.0,5.0,60.3,56.0,8.08,8.11,4.88,0,1,0,0,0,0,0,0,1,0,0,0,0,16425
82,2.28,3.0,62.7,57.0,8.43,8.36,5.26,0,0,1,0,0,0,0,0,0,0,1,0,0,16450
93,2.02,1.0,60.4,58.0,8.2,8.16,4.94,0,0,0,0,1,0,0,1,0,0,0,0,0,17357
141,2.0,1.0,60.7,60.0,8.07,8.11,4.91,0,0,0,1,0,0,0,0,1,0,0,0,0,15312
154,2.01,5.0,61.5,62.0,8.07,7.94,4.92,0,0,0,1,0,0,0,0,0,1,0,0,0,15475
165,2.31,6.0,62.9,58.0,8.43,8.34,5.27,0,0,0,1,0,0,0,0,1,0,0,0,0,17218
167,2.01,5.0,60.6,57.0,8.19,8.09,4.92,0,0,1,0,0,0,0,1,0,0,0,0,0,17383
193,2.02,3.0,62.7,57.0,8.05,8.0,5.03,0,0,1,0,0,0,0,0,1,0,0,0,0,15785
233,2.01,6.0,60.1,60.0,8.25,8.2,4.94,0,0,0,0,1,0,0,1,0,0,0,0,0,17476
245,2.0,3.0,62.8,57.0,8.05,8.01,5.04,0,0,0,1,0,0,0,0,1,0,0,0,0,11975
260,2.0,2.0,70.2,57.0,7.63,7.59,5.34,1,0,0,0,0,0,0,0,1,0,0,0,0,15351
300,2.0,3.0,63.7,61.0,7.85,7.97,5.04,0,0,0,0,1,0,0,0,1,0,0,0,0,12221
347,3.51,4.0,62.5,59.0,9.66,9.63,6.03,0,0,0,1,0,0,0,0,0,0,1,0,0,18701
353,2.21,6.0,62.9,60.0,8.27,8.23,5.19,0,0,0,1,0,0,0,0,1,0,0,0,0,13369
380,2.11,5.0,58.4,62.0,8.43,8.39,4.91,0,0,0,1,0,0,0,0,1,0,0,0,0,14615
410,2.08,4.0,62.3,59.0,8.22,8.16,5.1,0,0,0,1,0,0,0,0,1,0,0,0,0,15873
421,2.23,3.0,63.5,57.0,8.24,8.2,5.22,0,0,0,0,1,1,0,0,0,0,0,0,0,7006
423,2.12,4.0,61.0,57.0,8.28,8.31,5.06,0,0,1,0,0,0,0,0,1,0,0,0,0,15647
427,2.09,2.0,61.8,56.0,8.15,8.22,5.06,0,0,1,0,0,0,0,1,0,0,0,0,0,17114
436,2.11,4.0,62.4,53.0,8.17,8.27,5.13,0,0,0,0,1,0,0,1,0,0,0,0,0,14740
443,2.02,6.0,61.7,58.0,8.07,8.0,4.96,0,0,0,1,0,0,0,0,1,0,0,0,0,14350
